raw_venue,raw_city,match_count,sample_match_id,sample_date,proposed_canonical_venue,proposed_canonical_city,proposed_country,needs_review,notes
Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,23,10243,2018-01-08,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Visakhapatnam, country=India); punctuation collision — merged into canonical"
Harare Sports Club,,23,5,2016-06-18,Harare Sports Club,Harare,Zimbabwe,FALSE,city filled from sibling rows (Harare)
ICC Academy,Dubai,23,152,2019-01-31,"ICC Academy, Dubai",Dubai,United Arab Emirates,FALSE,prefix of 'ICC Academy Ground No 2' — verify whether to merge or keep separate; keep separate from ICC Academy Ground No 2
"Queens Sports Club, Bulawayo",Bulawayo,23,846,2022-05-17,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,FALSE,
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,23,1011,2022-09-25,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,FALSE,
"YSD-UKM Cricket Oval, Bangi",Bangi,23,1893,2024-08-30,"YSD-UKM Cricket Oval, Bangi",Bangi,Malaysia,FALSE,country unknown — please fill; country filled via research (Malaysia)
 Emerald Heights International School Ground,,22,10324,2019-02-21,Emerald Heights International School Ground,Indore,India,FALSE,"whitespace-normalized venue; city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Indore, country=India)"
"Achimota Senior Secondary School A Field, Accra",Accra,22,1626,2024-03-17,"Achimota Senior Secondary School A Field, Accra",Accra,Ghana,FALSE,country unknown — please fill; country filled via research (Ghana)
"Allan Border Field, Brisbane",Brisbane,22,3925,2023-10-05,"Allan Border Field, Brisbane",Brisbane,Australia,FALSE,
Europa Sports Complex,Gibraltar,22,1203,2023-05-04,Europa Sports Complex,Gibraltar,Gibraltar,FALSE,
Sydney Showground Stadium,,22,6603,2016-12-20,Sydney Showground Stadium,Sydney,Australia,FALSE,city filled from sibling rows (Sydney)
Tikkurila Cricket Ground,Vantaa,22,893,2022-07-12,Tikkurila Cricket Ground,Vantaa,Finland,FALSE,
"Airforce Complex ground, Palam",,21,10328,2019-02-21,"Airforce Complex ground, Palam",Delhi,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Delhi, country=India)"
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,21,541,2021-09-15,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,FALSE,
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,21,1885,2024-08-21,"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
"Sportpark Maarschalkerweerd, Utrecht",Utrecht,21,1879,2024-08-23,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,FALSE,
"Eden Park, Auckland",Auckland,20,985,2023-04-02,"Eden Park, Auckland",Auckland,New Zealand,FALSE,
"McLean Park, Napier",Napier,20,977,2022-11-22,"McLean Park, Napier",Napier,New Zealand,FALSE,
Roma Cricket Ground,Spinaceto,20,1746,2024-06-09,Roma Cricket Ground,Spinaceto,Italy,FALSE,country unknown — please fill; country filled via research (Italy)
"Tolerance Oval, Abu Dhabi",Abu Dhabi,20,3790,2022-09-18,Tolerance Oval,Abu Dhabi,United Arab Emirates,FALSE,
Zhejiang University of Technology Cricket Field,Hangzhou,20,1392,2023-09-27,Zhejiang University of Technology Cricket Field,Hangzhou,China,FALSE,country unknown — please fill; country filled via research (China)
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,19,727,2021-12-22,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA,FALSE,
Drummoyne Oval,Sydney,19,12005,2019-01-19,"Drummoyne Oval, Sydney",Sydney,Australia,FALSE,
"Manuka Oval, Canberra",Canberra,19,481,2022-02-15,"Manuka Oval, Canberra",Canberra,Australia,FALSE,
Multan Cricket Stadium,Multan,19,4391,2024-09-16,Multan Cricket Stadium,Multan,Pakistan,FALSE,
"Simar Cricket Ground, Rome",Rome,19,1747,2024-06-09,"Simar Cricket Ground, Rome",Rome,Italy,FALSE,
VRA Ground,Amstelveen,19,102,2018-06-19,"VRA Ground, Amstelveen",Amstelveen,Netherlands,FALSE,
Brabourne Stadium,Mumbai,18,2799,2007-10-20,"Brabourne Stadium, Mumbai",Mumbai,India,FALSE,
Hurstville Oval,Sydney,18,11874,2016-12-29,Hurstville Oval,Sydney,Australia,FALSE,
Reliance Cricket Stadium,,18,10587,2021-01-10,Reliance Cricket Stadium,Vadodara,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vadodara, country=India)"
Santarem Cricket Ground,Albergaria,18,1200,2023-04-10,Santarem Cricket Ground,Albergaria,Portugal,FALSE,country unknown — please fill; country filled via research (Portugal)
Stadium Australia,Sydney,18,2933,2012-02-01,Stadium Australia,Sydney,Australia,FALSE,
Westpac Stadium,Wellington,18,27,2018-02-13,Westpac Stadium,Wellington,New Zealand,FALSE,
"Yeonhui Cricket Ground, Incheon",Incheon,18,1938,2024-09-25,"Yeonhui Cricket Ground, Incheon",Incheon,South Korea,FALSE,country unknown — please fill; country filled via research (South Korea)
Allan Border Field,Brisbane,17,3277,2018-10-01,"Allan Border Field, Brisbane",Brisbane,Australia,FALSE,
"Amini Park, Port Moresby",Port Moresby,17,1284,2023-07-22,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,FALSE,country unknown — please fill; country filled via research (Papua New Guinea)
DRIEMS Ground,,17,10326,2019-02-21,DRIEMS Ground,Cuttack,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Cuttack, country=India)"
Dr DY Patil Sports Academy,Mumbai,17,6038,2008-04-27,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,FALSE,
Eden Gardens,,17,10303,2018-01-21,"Eden Gardens, Kolkata",Kolkata,India,FALSE,city filled from sibling rows (Kolkata)
Happy Valley Ground,Episkopi,17,627,2021-10-05,Happy Valley Ground,Episkopi,Cyprus,FALSE,prefix of 'Happy Valley Ground 2' — verify whether to merge or keep separate; country unknown — please fill; keep separate from Happy Valley Ground 2
Himachal Pradesh Cricket Association Stadium,Dharamsala,17,3179,2016-03-09,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,FALSE,"ambiguous venue name across cities ['Dharamsala', 'Dharmasala'] — paren-disambiguate"
Indian Association Ground,Singapore,17,232,2019-07-22,"Indian Association Ground, Singapore",Singapore,Singapore,FALSE,
"Kotambi Stadium, Vadodara",Vadodara,17,12424,2025-02-14,"Kotambi Stadium, Vadodara",Vadodara,India,FALSE,
M.Chinnaswamy Stadium,Bengaluru,17,149,2019-02-27,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,FALSE,punctuation collision — merged into canonical
"Maple Leaf North-West Ground, King City",King City,17,1958,2024-09-28,"Maple Leaf North-West Ground, King City",King City,Canada,FALSE,
Pallekele International Cricket Stadium,,17,2931,2011-08-06,Pallekele International Cricket Stadium,Kandy,Sri Lanka,FALSE,city filled from sibling rows (Kandy)
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,17,207,2019-09-18,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,India,FALSE,"ambiguous venue name across cities ['Chandigarh', 'Mohali'] — paren-disambiguate; twin-city mislabel; ground is in Mohali"
Subrata Roy Sahara Stadium,Pune,17,2999,2012-12-20,Subrata Roy Sahara Stadium,Pune,India,FALSE,
"The Village, Malahide",Dublin,17,94,2018-06-27,"The Village, Malahide",Dublin,Ireland,FALSE,
Arun Jaitley Stadium,Delhi,16,67,2017-11-01,"Arun Jaitley Stadium, Delhi",Delhi,India,FALSE,
"Asian Institute of Technology Ground, Bangkok",Bangkok,16,4596,2025-05-09,"Asian Institute of Technology Ground, Bangkok",Bangkok,Thailand,FALSE,
"High Performance Oval, Windhoek",Windhoek,16,4569,2025-04-08,"High Performance Oval, Windhoek",Windhoek,Namibia,FALSE,
"King George V Sports Ground, Castel",Castel,16,1809,2024-06-22,"King George V Sports Ground, Castel",Castel,Guernsey,FALSE,country unknown — please fill; country filled via research (Guernsey)
La Manga Club Top Ground,Murcia,16,1688,2024-04-14,La Manga Club Top Ground,Murcia,Spain,FALSE,country unknown — please fill; country filled via research (Spain)
McLean Park,Napier,16,8,2017-01-03,"McLean Park, Napier",Napier,New Zealand,FALSE,
"Molyneux Park, Alexandra",Alexandra,16,10061,2023-12-28,"Molyneux Park, Alexandra",Alexandra,New Zealand,FALSE,"country unknown — please fill; country filled via research (Australia); corrected Alexandra=NZ (Central Otago), not Australia"
"National Sports Academy, Sofia",Sofia,16,489,2021-06-24,"National Sports Academy, Sofia",Sofia,Bulgaria,FALSE,country unknown — please fill; country filled via research (Bulgaria)
"Sikh Union Club Ground, Nairobi",Nairobi,16,1815,2024-06-28,"Sikh Union Club Ground, Nairobi",Nairobi,Kenya,FALSE,
University Oval,Dunedin,16,407,2021-02-25,University Oval (Dunedin),Dunedin,New Zealand,FALSE,
"Achimota Senior Secondary School B Field, Accra",Accra,15,1627,2024-03-17,"Achimota Senior Secondary School B Field, Accra",Accra,Ghana,FALSE,country unknown — please fill; country filled via research (Ghana)
"Beausejour Stadium, Gros Islet",St Lucia,15,2867,2010-05-01,"Beausejour Stadium, Gros Islet",St Lucia,Saint Lucia,FALSE,country unknown — please fill; country filled via research (Saint Lucia)
Botswana Cricket Association Oval 1,Gaborone,15,3349,2018-08-20,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana,FALSE,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,15,148,2019-02-24,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,FALSE,
"GMHBA Stadium, South Geelong, Victoria",Geelong,15,729,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Geelong,Australia,FALSE,
Happy Valley Ground 2,Episkopi,15,2558,2025-10-31,Happy Valley Ground 2,Episkopi,Cyprus,FALSE,country unknown — please fill; country filled via research (Cyprus)
"Hurlingham Club Ground, Buenos Aires",Buenos Aires,15,1184,2023-02-26,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina,FALSE,country unknown — please fill; country filled via research (Argentina)
La Manga Club Bottom Ground,Murcia,15,338,2019-10-25,La Manga Club Bottom Ground,Murcia,Spain,FALSE,country unknown — please fill; country filled via research (Spain)
"Maharashtra Cricket Association Stadium, Pune",Pune,15,1138,2023-01-05,"Maharashtra Cricket Association Stadium, Pune",Pune,India,FALSE,
"Pukekura Park, New Plymouth",New Plymouth,15,9888,2021-01-18,"Pukekura Park, New Plymouth",New Plymouth,New Zealand,FALSE,
Rajiv Gandhi International Stadium,Hyderabad,15,5490,2018-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,FALSE,
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,15,625,2022-06-17,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India,FALSE,
Sportpark Het Schootsveld,Deventer,15,100,2018-06-16,"Sportpark Het Schootsveld, Deventer",Deventer,Netherlands,FALSE,prefix of 'Sportpark Het Schootsveld 2' — verify whether to merge or keep separate; country unknown — please fill; keep separate from ...2
"Vassil Levski National Sports Academy, Sofia",Sofia,15,2348,2025-07-10,"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria,FALSE,country unknown — please fill; country filled via research (Bulgaria)
"Airforce Complex ground, Palam II",,14,10329,2019-02-21,"Airforce Complex ground, Palam II",Delhi,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Delhi, country=India)"
"Church Street Park, Morrisville",Morrisville,14,11530,2023-07-20,"Church Street Park, Morrisville",Morrisville,USA,FALSE,
"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,14,4461,2024-12-15,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,FALSE,country unknown — please fill; country filled via research (India)
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",,14,10318,2019-02-21,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Vijayawada,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vijayawada, country=India)"
"Namibia Cricket Ground, Windhoek",Windhoek,14,2156,2025-03-19,"Namibia Cricket Ground, Windhoek",Windhoek,Namibia,FALSE,
Shaheed Veer Narayan Singh International Stadium,,14,10241,2018-01-08,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,India,FALSE,city filled from sibling rows (Raipur)
Sportpark Maarschalkerweerd,Utrecht,14,169,2019-05-25,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,FALSE,
"TCA Oval, Blantyre",Blantyre,14,1996,2024-10-09,"TCA Oval, Blantyre",Blantyre,Malawi,FALSE,country unknown — please fill; country filled via research (Malawi)
Wanderers Cricket Ground,Windhoek,14,3028,2013-04-20,Wanderers Cricket Ground,Windhoek,Namibia,FALSE,
Zahur Ahmed Chowdhury Stadium,Chittagong,14,3067,2014-03-16,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,FALSE,city alias: Chittagong→Chattogram
"Cricket Stadium, Sector-16",,13,10452,2019-11-08,"Cricket Stadium, Sector-16",Chandigarh,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Chandigarh, country=India)"
"Diamond Oval, Kimberley",Kimberley,13,4083,2023-12-06,"Diamond Oval, Kimberley",Kimberley,South Africa,FALSE,
"GB Oval, Szodliget",Szodliget,13,1351,2023-08-05,"GB Oval, Szodliget",Szodliget,Hungary,FALSE,country unknown — please fill; country filled via research (Hungary)
Greenfield Stadium,,13,10451,2019-11-08,Greenfield Stadium,Thiruvananthapuram,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Thiruvananthapuram, country=India)"
"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,13,1811,2024-06-23,"Guernsey Rovers Athletic Club Ground, Port Soif",Port Soif,Guernsey,FALSE,country unknown — please fill; country filled via research (Guernsey)
"Holkar Cricket Stadium, Indore",Indore,13,1014,2022-10-04,"Holkar Cricket Stadium, Indore",Indore,India,FALSE,
"JSCA International Stadium Complex, Ranchi",Ranchi,13,614,2021-11-19,"JSCA International Stadium Complex, Ranchi",Ranchi,India,FALSE,
Jawaharlal Nehru Stadium,,13,10854,2016-01-02,Jawaharlal Nehru Stadium,Kochi,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Kochi, country=India)"
Motibaug Cricket Ground,,13,10585,2021-01-10,Motibaug Cricket Ground,Vadodara,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vadodara, country=India)"
Pukekura Park,New Plymouth,13,3270,2018-03-20,"Pukekura Park, New Plymouth",New Plymouth,New Zealand,FALSE,
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,13,1009,2022-09-20,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,India,FALSE,
"Sardar Patel Stadium, Motera",Ahmedabad,13,3025,2012-12-28,"Sardar Patel Stadium, Motera",Ahmedabad,India,FALSE,
Saurashtra Cricket Association Stadium,Rajkot,13,68,2017-11-04,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India,FALSE,
"Saxton Oval, Nelson",Nelson,13,1830,2025-01-02,"Saxton Oval, Nelson",Nelson,New Zealand,FALSE,
"Sir Vivian Richards Stadium, North Sound",Antigua,13,2902,2010-05-19,"Sir Vivian Richards Stadium, North Sound",North Sound,Antigua and Barbuda,FALSE,country unknown — please fill; country filled via research (Antigua and Barbuda)
"Takashinga Sports Club, Highfield, Harare",Harare,13,2506,2025-09-26,Takashinga Sports Club,Harare,Zimbabwe,FALSE,
University of Doha for Science and Technology,Doha,13,1603,2024-02-27,University of Doha for Science and Technology,Doha,Qatar,FALSE,country unknown — please fill; country filled via research (Qatar)
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,13,17,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,FALSE,
"Albert Park 1, Suva",Suva,12,4772,2025-09-05,"Albert Park 1, Suva",Suva,Fiji,FALSE,country unknown — please fill; country filled via research (Fiji)
BKC Ground,,12,10454,2019-11-18,BKC Ground,Mumbai,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Mumbai, country=India)"
Botswana Cricket Association Oval 2,Gaborone,12,3350,2018-08-20,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana,FALSE,
College Ground,Cheltenham,12,8321,2017-07-07,"College Ground, Cheltenham",Cheltenham,England,FALSE,country unknown — please fill; country filled via research (England)
"Coolidge Cricket Ground, Antigua",Coolidge,12,441,2021-03-03,"Coolidge Cricket Ground, Antigua",Coolidge,Antigua and Barbuda,FALSE,country unknown — please fill; country filled via research (Antigua and Barbuda)
Dr P.V.G. Raju ACA Sports Complex,,12,10248,2018-01-08,Dr P.V.G. Raju ACA Sports Complex,Vizianagaram,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vizianagaram, country=India)"
"Faleata Oval No 2, Apia",Apia,12,1867,2024-08-17,"Faleata Oval No 2, Apia",Apia,Samoa,FALSE,country unknown — please fill; country filled via research (Samoa)
"GSSS, Sector 26",,12,10453,2019-11-08,"GSSS, Sector 26",Chandigarh,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Chandigarh, country=India)"
Galle International Stadium,,12,4969,2012-09-26,Galle International Stadium,Galle,Sri Lanka,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Galle, country=Sri Lanka)"
"Haslegrave Ground, Loughborough",Loughborough,12,12476,2017-08-18,"Haslegrave Ground, Loughborough",Loughborough,England,FALSE,country unknown — please fill; country filled via research (England)
"Hazelaarweg, Rotterdam",Rotterdam,12,4730,2025-08-20,"Hazelaarweg, Rotterdam",Rotterdam,Netherlands,FALSE,
"John Davies Oval, Queenstown",Queenstown,12,987,2023-04-08,"John Davies Oval, Queenstown",Queenstown,New Zealand,FALSE,
"White Hill Field, Sandys Parish",Hamilton,12,250,2019-08-18,"White Hill Field, Sandys Parish",Hamilton,New Zealand,FALSE,
"Woodley Cricket Field, Los Angeles",Los Angeles,12,4060,2023-09-04,"Woodley Cricket Field, Los Angeles",Los Angeles,USA,FALSE,country unknown — please fill; country filled via research (USA)
YMCA Cricket Club,Dublin,12,3279,2018-06-06,YMCA Cricket Club,Dublin,Ireland,FALSE,
Aurora Stadium,Launceston,11,6648,2017-12-30,"Aurora Stadium, Launceston",Launceston,Australia,FALSE,
"Barsapara Cricket Stadium, Guwahati",Guwahati,11,1013,2022-10-02,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,FALSE,
Bayuemas Oval,Kuala Lumpur,11,5205,2018-10-03,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
Blacktown International Sportspark,Sydney,11,11878,2017-01-02,"Blacktown International Sportspark, Sydney",Sydney,Australia,FALSE,
"Civil Service Cricket Club, Stormont",Belfast,11,2818,2008-08-03,"Civil Service Cricket Club, Stormont",Belfast,Ireland,FALSE,
"Dr DY Patil Sports Academy, Mumbai",Mumbai,11,5729,2022-03-27,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,FALSE,"ambiguous venue name across cities ['Mumbai', 'Navi Mumbai'] — paren-disambiguate; correct city Navi Mumbai (Nerul)"
"Drummoyne Oval, Sydney",Sydney,11,12309,2024-11-12,"Drummoyne Oval, Sydney",Sydney,Australia,FALSE,
Friendship Oval,Dasmarinas,11,5236,2018-12-01,Friendship Oval,Dasmarinas,Philippines,FALSE,country unknown — please fill; country filled via research (Philippines)
Gahanga International Cricket Stadium. Rwanda,,11,5142,2018-07-07,"Gahanga International Cricket Stadium, Rwanda",Kigali,Rwanda,FALSE,city filled from sibling rows (Kigali City); country unknown — please fill; country filled via research (Rwanda); punctuation collision — merged into canonical
Grand Prairie Stadium,Dallas,11,11523,2023-07-14,Grand Prairie Stadium,Grand Prairie,USA,FALSE,"ambiguous venue name across cities ['Dallas', 'Grand Prairie'] — paren-disambiguate; Grand Prairie is a suburb of Dallas"
Holkar Cricket Stadium,Indore,11,77,2017-12-22,"Holkar Cricket Stadium, Indore",Indore,India,FALSE,
ICC Academy Ground No 2,Dubai,11,290,2019-10-19,"ICC Academy Ground No 2, Dubai",Dubai,United Arab Emirates,FALSE,
"Mangaung Oval, Bloemfontein",Bloemfontein,11,12568,2016-11-20,"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa,FALSE,
"Ray Mitchell Oval, Harrup Park, Mackay",Mackay,11,12153,2021-11-13,"Ray Mitchell Oval, Harrup Park, Mackay",Mackay,Australia,FALSE,
"Reforma Athletic Club, Naucalpan",Naucalpan,11,3636,2021-10-19,"Reforma Athletic Club, Naucalpan",Naucalpan,Mexico,FALSE,country unknown — please fill; country filled via research (Mexico)
Sano International Cricket Ground,,11,5117,2016-11-03,Sano International Cricket Ground,Sano,Japan,FALSE,city filled from sibling rows (Sano); prefix of 'Sano International Cricket Ground 2' — verify whether to merge or keep separate; country unknown — please fill; keep separate from ...Ground 2
"Sportpark Westvliet, Voorburg",The Hague,11,2320,2025-07-05,"Sportpark Westvliet, Voorburg",The Hague,Netherlands,FALSE,
"Stars Arena Hofstade, Zemst",Zemst,11,2248,2025-05-30,"Stars Arena Hofstade, Zemst",Zemst,Belgium,FALSE,country unknown — please fill; country filled via research (Belgium)
"Svanholm Park, Brondby",Brondby,11,528,2021-08-14,"Svanholm Park, Brondby",Brondby,Denmark,FALSE,
"ACA Stadium, Barsapara",,10,10673,2021-11-04,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Guwahati, country=India)"
"Abhimanyu Cricket Academy, Dehradun",Dehra Dun,10,10812,2023-10-17,"Abhimanyu Cricket Academy, Dehradun",Dehra Dun,India,FALSE,country unknown — please fill; country filled via research (India)
"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,10,1181,2023-02-22,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,FALSE,country unknown — please fill; country filled via research (Argentina)
"Centre for Cricket Development Ground, Windhoek",Windhoek,10,3705,2022-04-21,"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia,FALSE,
"Chevrolet Park, Bloemfontein",Bloemfontein,10,12751,2012-02-26,"Chevrolet Park, Bloemfontein",Bloemfontein,South Africa,FALSE,
Church Street Park,Morrisville,10,5188,2018-09-20,"Church Street Park, Morrisville",Morrisville,USA,FALSE,
Estonian National Cricket and Rugby Field,Tallinn,10,2416,2025-07-26,Estonian National Cricket and Rugby Field,Tallinn,Estonia,FALSE,country unknown — please fill; country filled via research (Estonia)
"Fitzherbert Park, Palmerston North",Palmerston North,10,9949,2021-12-27,"Fitzherbert Park, Palmerston North",Palmerston North,New Zealand,FALSE,country unknown — please fill; country filled via research (New Zealand)
Forthill,Dundee,10,3490,2019-09-02,Forthill,Dundee,Scotland,FALSE,
Gokaraju Liala Gangaaraju ACA Cricket Ground,,10,10683,2021-11-04,Gokaraju Liala Gangaaraju ACA Cricket Ground,Vijayawada,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vijayawada, country=India)"
"Independence Park, Port Vila",Port Vila,10,1040,2022-09-10,"Independence Park, Port Vila",Port Vila,Vanuatu,FALSE,country unknown — please fill; country filled via research (Vanuatu)
"Indian Association Ground, Singapore",Singapore,10,942,2022-06-28,"Indian Association Ground, Singapore",Singapore,Singapore,FALSE,
"Ishoj Cricket Club, Vejledalen",Ishoj,10,2300,2025-06-13,"Ishoj Cricket Club, Vejledalen",Ishoj,Denmark,FALSE,country unknown — please fill; country filled via research (Denmark)
JSCA International Stadium Complex,,10,10244,2018-01-08,"JSCA International Stadium Complex, Ranchi",Ranchi,India,FALSE,city filled from sibling rows (Ranchi)
Lilac Hill Park,Perth,10,11887,2017-01-13,"Lilac Hill Park, Perth",Perth,Australia,FALSE,
Lisicji Jarak Cricket Ground,Belgrade,10,991,2022-07-08,Lisicji Jarak Cricket Ground,Belgrade,Serbia,FALSE,country unknown — please fill; country filled via research (Serbia)
"National Cricket Stadium, St George's, Grenada",St George's,10,465,2021-06-26,"National Cricket Stadium, St George's",St George's,Grenada,FALSE,
Pierre Werner Cricket Ground,Walferdange,10,393,2020-08-29,Pierre Werner Cricket Ground,Walferdange,Luxembourg,FALSE,country unknown — please fill; country filled via research (Luxembourg)
Punjab Cricket Association IS Bindra Stadium,Chandigarh,10,5488,2018-04-08,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,India,FALSE,
"R.Premadasa Stadium, Khettarama",Colombo,10,51,2017-09-06,"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,FALSE,
"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,10,879,2022-06-29,"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,Belgium,FALSE,
Saurashtra Cricket Association Stadium,,10,10239,2018-01-07,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India,FALSE,city filled from sibling rows (Rajkot)
Sharad Pawar Cricket Academy BKC,,10,10591,2021-01-11,Sharad Pawar Cricket Academy BKC,Mumbai,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Mumbai, country=India)"
St George's Park,Port Elizabeth,10,200,2020-02-23,"St George's Park, Gqeberha",Gqeberha,South Africa,FALSE,
Vanuatu Cricket Ground,Port Vila,10,4002,2023-08-28,Vanuatu Cricket Ground,Port Vila,Vanuatu,FALSE,prefix of 'Vanuatu Cricket Ground (Oval 2)' — verify whether to merge or keep separate; country unknown — please fill; keep separate from Vanuatu Cricket Ground (Oval 2)
"Albert Park 2, Suva",Suva,9,4778,2025-09-09,"Albert Park 2, Suva",Suva,Fiji,FALSE,country unknown — please fill; country filled via research (Fiji)
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,9,1531,2024-06-13,"Arnos Vale Ground, Kingstown",Kingstown,Saint Vincent and the Grenadines,FALSE,
"Aurora Stadium, Launceston",Launceston,9,6865,2021-12-08,"Aurora Stadium, Launceston",Launceston,Australia,FALSE,
Barabati Stadium,Cuttack,9,76,2017-12-20,"Barabati Stadium, Cuttack",Cuttack,India,FALSE,
"Bready Cricket Club, Magheramason, Bready",Bready,9,525,2021-09-01,"Bready Cricket Club, Magheramason",Bready,Ireland,FALSE,
Bulawayo Athletic Club,Bulawayo,9,946,2022-07-11,Bulawayo Athletic Club,Bulawayo,Zimbabwe,FALSE,
"Civil Service Cricket Club, Stormont, Belfast",Belfast,9,439,2021-07-22,"Civil Service Cricket Club, Stormont",Belfast,Ireland,FALSE,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,9,624,2022-06-14,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,FALSE,
"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,9,1924,2024-09-21,Gymkhana Club Ground (Dar-es-Salaam),Dar-es-Salaam,Tanzania,FALSE,country unknown — please fill; country filled via research (Tanzania)
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,9,620,2022-02-26,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,FALSE,
